Size ,Lex-rank,Greedy,Sumblr
30,163.272340426,114.046808511,94.0811965812
40,299.3515625,208.7890625,172.724409449
50,466.182926829,328.617283951,269.518518519
60,760.26,526.3,430.42
70,1027.37837838,711.216216216,581.648648649
80,1407.88888889,974.62962963,797.074074074
90,1652.73913043,1144.13043478,935.695652174
100,1810.14285714,1253.0952381,1024.80952381
110,2000.68421053,1385,1132.68421053
120,2379.66666667,1602.6,1292.26666667
130,2549.64285714,1717.07142857,1384.57142857
140,2974.58333333,2003.25,1615.33333333
